assigned_name	eve-type	eve-taxonomy	eve-numeric-id	eve-distribution	virus_genome_type	virus_family	virus_genus	organism	tax_class	superorder	tax_order	family	genus	target_version	scaffold	extract_start	extract_end	orientation	bitscore	identity	sequence_length
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	33926	41814	-	4627	100	7889
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	89721	94578	-	2804	98.332	4858
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	10019	13816	+	2589	100	3798
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	58031	59497	+	944	100	1467
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	4865	5722	+	593	100	858
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	930	1745	-	569	100	816
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01001571.1	21110	21928	+	565	100	819
ciHV-Alloherpes.1-Acipenser_ruthenus	ciHV	Alloherpes	1	Acipenser_ruthenus	DNAds	Alloherpesviridae	Alloherpesviridae	Acipenser_ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser	ASM411989v1	SCEB01009455.1	1735	4261	-	1622	100	2527
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	64693	68613	+	2742	100	3921
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	151785	154907	+	2184	100	3123
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	77121	80180	+	1855	100	3060
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	134574	137003	-	1447	100	2430
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	48034	49962	-	1180	100	1929
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	147155	148843	-	1134	100	1689
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	101330	102978	-	531	100	1649
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01001178.1	55548	56285	+	511	100	738
ciHV-Alloherpes.2-Rana_temporaria	ciHV	Alloherpes	2	Rana_temporaria	DNAds	Alloherpesviridae	Alloherpesviridae	Rana_temporaria	Amphibia	Batrachia	Anura	Ranidae	Rana	Ran_tem	VIAC01160848.1	1148	1984	+	584	100	837
ciHV-Alloherpes.3-Eleutherodactylus_coqui	ciHV	Alloherpes	3	Eleutherodactylus_coqui	DNAds	Alloherpesviridae	Alloherpesviridae	Eleutherodactylus_coqui	Amphibia	Batrachia	Anura	Eleutherodactylidae	Eleutherodactylus	Ele_coq	WNTK01002264.1	28722	34513	-	3576	100	5792
ciHV-Alloherpes.3-Eleutherodactylus_coqui	ciHV	Alloherpes	3	Eleutherodactylus_coqui	DNAds	Alloherpesviridae	Alloherpesviridae	Eleutherodactylus_coqui	Amphibia	Batrachia	Anura	Eleutherodactylidae	Eleutherodactylus	Ele_coq	WNTK01002264.1	68506	69522	-	709	100	1017
ciHV-Alloherpes.3-Eleutherodactylus_coqui	ciHV	Alloherpes	3	Eleutherodactylus_coqui	DNAds	Alloherpesviridae	Alloherpesviridae	Eleutherodactylus_coqui	Amphibia	Batrachia	Anura	Eleutherodactylidae	Eleutherodactylus	Ele_coq	WNTK01002264.1	16563	17399	-	554	100	837
ciHV-Alloherpes.3-Eleutherodactylus_coqui	ciHV	Alloherpes	3	Eleutherodactylus_coqui	DNAds	Alloherpesviridae	Alloherpesviridae	Eleutherodactylus_coqui	Amphibia	Batrachia	Anura	Eleutherodactylidae	Eleutherodactylus	Ele_coq	WNTK01002264.1	13243	13770	-	369	100	528
ciHV-Alloherpes.3-Eleutherodactylus_coqui	ciHV	Alloherpes	3	Eleutherodactylus_coqui	DNAds	Alloherpesviridae	Alloherpesviridae	Eleutherodactylus_coqui	Amphibia	Batrachia	Anura	Eleutherodactylidae	Eleutherodactylus	Ele_coq	WNTK01009770.1	6097	7831	+	1148	100	1735
